               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,             0.10584,           0.0087941,            0.031322,            0.002302,             0.22885,             0.00167,           0.0003547,             0.10434,           0.0062146,            0.031693,          0.00095791,          0.00095791,          0.00095791
                  35,             0.10596,           0.0088172,             0.03135,           0.0022892,             0.22772,           0.0016701,          0.00035355,             0.10436,            0.006214,            0.031696,          0.00095058,          0.00095058,          0.00095058
                  36,             0.10594,           0.0085393,            0.031331,           0.0023518,              0.2325,           0.0016749,          0.00035637,             0.10429,            0.006188,            0.031691,          0.00094324,          0.00094324,          0.00094324
                  37,              0.1057,           0.0083175,            0.031345,           0.0022934,             0.22897,           0.0016518,          0.00035153,             0.10426,           0.0061959,            0.031692,           0.0009359,           0.0009359,           0.0009359
                  38,             0.10586,           0.0088057,            0.031353,           0.0022958,             0.22748,           0.0016592,          0.00035005,             0.10435,           0.0062007,            0.031704,          0.00092857,          0.00092857,          0.00092857
                  39,             0.10574,           0.0085573,            0.031281,           0.0023015,             0.22923,           0.0016614,          0.00035316,             0.10435,           0.0062101,            0.031698,          0.00092123,          0.00092123,          0.00092123
                  40,              0.1059,           0.0089574,             0.03129,           0.0022456,             0.22491,           0.0016652,          0.00035619,              0.1045,           0.0062168,            0.031704,           0.0009139,           0.0009139,           0.0009139
                  41,             0.10576,           0.0081569,            0.031293,           0.0023264,             0.23116,           0.0016765,          0.00035546,             0.10421,           0.0062154,            0.031673,          0.00090656,          0.00090656,          0.00090656
                  42,              0.1058,           0.0086622,            0.031391,           0.0022501,              0.2237,           0.0016419,           0.0003518,             0.10443,           0.0062177,            0.031707,          0.00089922,          0.00089922,          0.00089922
                  43,             0.10584,           0.0087352,             0.03135,           0.0023077,             0.22873,           0.0016575,          0.00035282,             0.10425,           0.0062086,            0.031679,          0.00089189,          0.00089189,          0.00089189
                  44,             0.10595,           0.0084771,            0.031331,           0.0023007,              0.2283,           0.0016624,          0.00035347,             0.10431,           0.0062169,            0.031694,          0.00088455,          0.00088455,          0.00088455
                  45,             0.10566,            0.007956,            0.031322,           0.0023067,             0.22835,           0.0016708,          0.00035157,             0.10431,           0.0061972,            0.031702,          0.00087722,          0.00087722,          0.00087722
                  46,             0.10583,            0.008381,            0.031261,           0.0023105,             0.22902,           0.0016718,          0.00035648,             0.10433,           0.0062075,            0.031696,          0.00086988,          0.00086988,          0.00086988
                  47,             0.10568,            0.008524,            0.031358,           0.0022975,             0.22821,           0.0016518,          0.00034713,             0.10432,           0.0062219,            0.031724,          0.00086254,          0.00086254,          0.00086254
                  48,              0.1057,           0.0083252,            0.031376,            0.002283,             0.22606,           0.0016659,          0.00035825,              0.1044,           0.0062064,            0.031707,          0.00085521,          0.00085521,          0.00085521
                  49,             0.10568,           0.0083277,            0.031295,           0.0022833,             0.22672,           0.0016523,          0.00035038,             0.10428,           0.0062119,            0.031688,          0.00084787,          0.00084787,          0.00084787
