               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0088975,            0.012679,          0.00057039,             0.99985,             0.99978,               0.995,             0.96643,           0.0056789,           0.0063163,          0.00023158,           0.0003268,           0.0003268,           0.0003268
                  36,           0.0086359,            0.011842,          0.00053871,             0.99992,             0.99971,               0.995,             0.96813,           0.0055811,           0.0062743,          0.00020327,            0.000307,            0.000307,            0.000307
                  37,           0.0085228,            0.012191,          0.00049822,              0.9999,             0.99972,               0.995,             0.96711,           0.0055601,           0.0062442,          0.00018931,           0.0002872,           0.0002872,           0.0002872
                  38,           0.0083343,            0.011932,           0.0004544,             0.99991,             0.99982,               0.995,             0.96809,           0.0055278,           0.0061909,          0.00017888,           0.0002674,           0.0002674,           0.0002674
                  39,           0.0082675,            0.012145,          0.00047944,             0.99993,             0.99969,               0.995,             0.97056,           0.0054234,           0.0061776,          0.00016999,           0.0002476,           0.0002476,           0.0002476
                  40,           0.0082288,            0.011918,          0.00049432,             0.99991,             0.99969,               0.995,             0.96992,           0.0054246,           0.0061682,          0.00015466,           0.0002278,           0.0002278,           0.0002278
                  41,           0.0080847,            0.011653,          0.00045159,             0.99991,             0.99971,               0.995,             0.97091,           0.0053849,           0.0061255,          0.00014197,            0.000208,            0.000208,            0.000208
                  42,           0.0079631,            0.012055,          0.00043137,             0.99991,             0.99977,               0.995,             0.97169,           0.0053548,           0.0060659,          0.00013355,           0.0001882,           0.0001882,           0.0001882
                  43,           0.0077284,            0.011639,          0.00039494,             0.99987,              0.9998,               0.995,             0.97127,           0.0053697,            0.006084,           0.0001232,           0.0001684,           0.0001684,           0.0001684
                  44,           0.0077725,             0.01186,          0.00042801,             0.99992,             0.99981,               0.995,             0.97085,           0.0053688,           0.0061363,          0.00011787,           0.0001486,           0.0001486,           0.0001486
                  45,            0.007706,            0.011949,          0.00042194,             0.99992,             0.99981,               0.995,             0.97271,           0.0052815,           0.0060103,          0.00010928,           0.0001288,           0.0001288,           0.0001288
                  46,           0.0075921,            0.011862,          0.00041783,             0.99991,             0.99975,               0.995,             0.97191,           0.0053003,           0.0060542,          0.00010557,            0.000109,            0.000109,            0.000109
                  47,           0.0074754,            0.011856,          0.00040414,             0.99993,             0.99979,               0.995,             0.97249,           0.0052583,           0.0059878,          9.4319e-05,            8.92e-05,            8.92e-05,            8.92e-05
                  48,           0.0075082,            0.011835,           0.0004262,             0.99993,             0.99979,               0.995,             0.97288,           0.0052499,           0.0059932,          9.2683e-05,            6.94e-05,            6.94e-05,            6.94e-05
                  49,           0.0073634,            0.011503,          0.00039459,             0.99992,             0.99982,               0.995,             0.97222,           0.0052525,           0.0060246,          8.4452e-05,            4.96e-05,            4.96e-05,            4.96e-05
