               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0092373,            0.018532,          0.00059865,             0.99985,             0.99995,               0.995,             0.98732,           0.0042948,           0.0051719,          0.00029754,           0.0053072,           0.0053072,           0.0053072
                  36,           0.0093942,            0.017581,          0.00056881,             0.99992,             0.99994,               0.995,             0.98754,           0.0041451,           0.0049439,          0.00029033,            0.005228,            0.005228,            0.005228
                  37,           0.0090696,            0.017962,          0.00062471,             0.99994,                   1,               0.995,             0.98742,           0.0042173,           0.0051217,          0.00028038,           0.0051488,           0.0051488,           0.0051488
                  38,           0.0090137,            0.017705,          0.00054448,             0.99991,              0.9999,               0.995,             0.98852,           0.0041202,           0.0049657,          0.00029155,           0.0050696,           0.0050696,           0.0050696
                  39,           0.0088576,            0.017327,          0.00058819,             0.99993,                   1,               0.995,             0.98818,           0.0040829,           0.0049191,          0.00028632,           0.0049904,           0.0049904,           0.0049904
                  40,           0.0088026,            0.017156,          0.00055374,             0.99993,             0.99984,               0.995,             0.98995,           0.0040181,           0.0048734,          0.00027484,           0.0049112,           0.0049112,           0.0049112
                  41,           0.0086145,            0.016882,           0.0005223,             0.99994,              0.9999,               0.995,             0.98925,           0.0039598,           0.0048609,          0.00026888,            0.004832,            0.004832,            0.004832
                  42,           0.0086641,            0.017263,          0.00052329,             0.99992,                   1,               0.995,             0.98896,           0.0040206,           0.0049814,          0.00026738,           0.0047528,           0.0047528,           0.0047528
                  43,           0.0083605,             0.01683,          0.00054922,             0.99993,                   1,               0.995,             0.99019,           0.0038681,           0.0047779,          0.00025154,           0.0046736,           0.0046736,           0.0046736
                  44,           0.0084427,            0.017406,          0.00051465,             0.99993,                   1,               0.995,             0.98944,           0.0039543,           0.0047188,          0.00025248,           0.0045944,           0.0045944,           0.0045944
                  45,            0.008325,            0.017361,          0.00052859,             0.99992,             0.99996,               0.995,             0.99077,           0.0038581,            0.004749,           0.0002413,           0.0045152,           0.0045152,           0.0045152
                  46,           0.0082449,            0.017048,          0.00049895,             0.99992,             0.99999,               0.995,             0.98978,           0.0038694,           0.0047444,          0.00023545,            0.004436,            0.004436,            0.004436
