               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.081899,            0.044795,            0.050225,            0.020408,                   1,             0.33167,             0.18242,            0.076259,            0.022448,            0.051743,            0.031126,           0.0061264,           0.0061264
                  38,            0.083449,             0.04419,             0.04981,            0.017857,                   1,               0.995,             0.41371,            0.075667,            0.021879,            0.051682,            0.029252,           0.0062516,           0.0062516
                  39,            0.084158,            0.044199,            0.050248,            0.017857,                   1,               0.995,             0.41371,            0.075667,            0.021879,            0.051682,            0.027375,           0.0063749,           0.0063749
                  40,            0.081396,            0.045885,            0.051697,            0.017857,                   1,               0.995,             0.41371,            0.075667,            0.021879,            0.051682,            0.025496,           0.0064962,           0.0064962
                  41,            0.081079,            0.052617,            0.049736,            0.020408,                   1,               0.995,             0.33167,             0.06741,            0.023117,            0.049675,            0.023616,           0.0066155,           0.0066155
                  42,            0.079612,            0.049649,            0.050773,            0.020408,                   1,               0.995,             0.33167,             0.06741,            0.023117,            0.049675,            0.021733,           0.0067329,           0.0067329
                  43,            0.081537,            0.058751,            0.049788,            0.020408,                   1,               0.995,             0.33167,             0.06741,            0.023117,            0.049675,            0.019848,           0.0068482,           0.0068482
                  44,            0.081481,            0.052747,            0.050207,            0.020408,                   1,               0.995,             0.33167,             0.06741,            0.023117,            0.049675,            0.017962,           0.0069616,           0.0069616
                  45,            0.076344,            0.047115,            0.049565,            0.017857,                   1,               0.995,             0.14925,            0.069181,            0.022312,            0.048676,            0.016073,            0.007073,            0.007073
                  46,            0.075492,             0.05858,            0.049372,            0.017857,                   1,               0.995,             0.14925,            0.069181,            0.022312,            0.048676,            0.014182,           0.0071824,           0.0071824
                  47,            0.075875,            0.050591,            0.050251,            0.017857,                   1,               0.995,             0.14925,            0.069181,            0.022312,            0.048676,             0.01229,           0.0072898,           0.0072898
                  48,            0.076896,             0.05386,            0.049317,            0.017857,                   1,               0.995,             0.14925,            0.069181,            0.022312,            0.048676,            0.010395,           0.0073953,           0.0073953
                  49,            0.077718,            0.046373,            0.049501,            0.018519,                   1,               0.995,              0.2985,             0.06642,            0.022652,            0.048424,           0.0084988,           0.0074988,           0.0074988
