               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,           0.0083255,            0.013597,          0.00060326,             0.99994,             0.99987,               0.995,             0.99141,            0.003666,           0.0047278,          0.00030979,            0.006535,            0.006535,            0.006535
                  37,           0.0083444,            0.013456,          0.00055679,             0.99994,             0.99989,               0.995,             0.99145,           0.0036433,           0.0047837,          0.00031048,            0.006436,            0.006436,            0.006436
                  38,            0.008257,            0.013318,          0.00053787,             0.99991,              0.9999,               0.995,             0.99125,           0.0036081,           0.0047299,          0.00029153,            0.006337,            0.006337,            0.006337
                  39,           0.0081163,            0.013296,          0.00055099,             0.99991,             0.99989,               0.995,             0.99167,           0.0035369,           0.0046393,          0.00030038,            0.006238,            0.006238,            0.006238
                  40,           0.0079715,            0.013204,          0.00053595,             0.99991,                   1,               0.995,              0.9919,           0.0035334,           0.0046241,          0.00029263,            0.006139,            0.006139,            0.006139
                  41,           0.0080961,            0.013238,          0.00054365,             0.99991,             0.99996,               0.995,             0.99154,           0.0035331,            0.004669,          0.00028164,             0.00604,             0.00604,             0.00604
                  42,           0.0079121,            0.013106,          0.00052679,             0.99992,             0.99989,               0.995,             0.99209,           0.0034728,           0.0046079,          0.00028445,            0.005941,            0.005941,            0.005941
                  43,           0.0076839,            0.012909,          0.00053982,             0.99991,             0.99991,               0.995,             0.99202,           0.0034642,           0.0045782,          0.00028095,            0.005842,            0.005842,            0.005842
                  44,           0.0076575,            0.012946,          0.00052376,             0.99991,             0.99993,               0.995,             0.99158,            0.003465,           0.0045947,          0.00026952,            0.005743,            0.005743,            0.005743
                  45,           0.0077799,            0.012986,          0.00050928,             0.99991,             0.99994,               0.995,               0.992,           0.0034155,           0.0045684,          0.00025266,            0.005644,            0.005644,            0.005644
                  46,           0.0074699,            0.012709,          0.00053051,             0.99992,             0.99992,               0.995,             0.99243,           0.0034204,           0.0046309,          0.00025973,            0.005545,            0.005545,            0.005545
                  47,            0.007534,            0.012675,           0.0004706,             0.99992,             0.99991,               0.995,             0.99181,           0.0033827,           0.0045683,          0.00025539,            0.005446,            0.005446,            0.005446
                  48,           0.0073922,            0.012502,          0.00046177,             0.99988,             0.99991,               0.995,             0.99218,           0.0033453,           0.0045086,          0.00024998,            0.005347,            0.005347,            0.005347
